run sh: `/home/mounir.ourekouch/.conda/envs/re_ssm/bin/python /home/mounir.ourekouch/.conda/envs/re_ssm/lib/python3.10/site-packages/swift/cli/sft.py --model Qwen/Qwen2.5-7B-Instruct --train_type lora --dataset re_data/1_PROMPT/RETACRED/ReTACRED_data_train.json --val_dataset re_data/1_PROMPT/RETACRED/ReTACRED_data_dev.json --torch_dtype bfloat16 --num_train_epochs 2 --per_device_train_batch_size 4 --per_device_eval_batch_size 4 --learning_rate 1e-4 --lora_rank 8 --lora_alpha 32 --target_modules all-linear --gradient_accumulation_steps 16 --eval_strategy steps --eval_steps 50 --save_steps 50 --save_total_limit 5 --logging_steps 5 --max_length 2048 --output_dir output --system You are an AI assistant specialized in identifying relationships between named entities in sentences. --warmup_ratio 0.05 --dataloader_num_workers 4 --model_author swift --model_name swift-robot`
Downloading Model from https://www.modelscope.cn to directory: /home/mounir.ourekouch/.cache/modelscope/hub/models/Qwen/Qwen2.5-7B-Instruct
Downloading Model from https://www.modelscope.cn to directory: /home/mounir.ourekouch/.cache/modelscope/hub/models/Qwen/Qwen2.5-7B-Instruct
{'loss': 0.09218938, 'grad_norm': 1.2117703, 'learning_rate': 7.609e-05, 'token_acc': 0.96458333, 'epoch': 0.08, 'global_step/max_steps': '70/1828', 'percentage': '3.83%', 'elapsed_time': '13m 23s', 'remaining_time': '5h 36m 28s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.087078}
{'loss': 0.09102842, 'grad_norm': 1.77077579, 'learning_rate': 8.152e-05, 'token_acc': 0.96666667, 'epoch': 0.08, 'global_step/max_steps': '75/1828', 'percentage': '4.10%', 'elapsed_time': '13m 49s', 'remaining_time': '5h 23m 11s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.0904}
{'loss': 0.12696234, 'grad_norm': 1.31050885, 'learning_rate': 8.696e-05, 'token_acc': 0.95, 'epoch': 0.09, 'global_step/max_steps': '80/1828', 'percentage': '4.38%', 'elapsed_time': '14m 14s', 'remaining_time': '5h 11m 15s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.093596}
{'loss': 0.09864876, 'grad_norm': 0.67671299, 'learning_rate': 9.239e-05, 'token_acc': 0.95729167, 'epoch': 0.09, 'global_step/max_steps': '85/1828', 'percentage': '4.65%', 'elapsed_time': '14m 40s', 'remaining_time': '5h 0m 53s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.096548}
{'loss': 0.09623445, 'grad_norm': 0.4852013, 'learning_rate': 9.783e-05, 'token_acc': 0.96875, 'epoch': 0.1, 'global_step/max_steps': '90/1828', 'percentage': '4.92%', 'elapsed_time': '15m 5s', 'remaining_time': '4h 51m 17s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.099442}
{'loss': 0.07373239, 'grad_norm': 0.94366819, 'learning_rate': 0.0001, 'token_acc': 0.97083333, 'epoch': 0.1, 'global_step/max_steps': '95/1828', 'percentage': '5.20%', 'elapsed_time': '15m 30s', 'remaining_time': '4h 42m 51s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.102113}
{'loss': 0.08850249, 'grad_norm': 1.04951274, 'learning_rate': 9.999e-05, 'token_acc': 0.97083333, 'epoch': 0.11, 'global_step/max_steps': '100/1828', 'percentage': '5.47%', 'elapsed_time': '15m 56s', 'remaining_time': '4h 35m 22s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.104586}
{'eval_loss': 0.10360654, 'eval_runtime': 449.7644, 'eval_samples_per_second': 43.543, 'eval_steps_per_second': 10.886, 'eval_token_acc': 0.96303105, 'epoch': 0.11, 'global_step/max_steps': '100/1828', 'percentage': '5.47%', 'elapsed_time': '23m 25s', 'remaining_time': '6h 44m 54s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.071127}
{'loss': 0.11039418, 'grad_norm': 1.04460907, 'learning_rate': 9.999e-05, 'token_acc': 0.959375, 'epoch': 0.11, 'global_step/max_steps': '105/1828', 'percentage': '5.74%', 'elapsed_time': '23m 53s', 'remaining_time': '6h 31m 56s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.073269}
{'loss': 0.08125296, 'grad_norm': 0.47947541, 'learning_rate': 9.997e-05, 'token_acc': 0.97291667, 'epoch': 0.12, 'global_step/max_steps': '110/1828', 'percentage': '6.02%', 'elapsed_time': '24m 18s', 'remaining_time': '6h 19m 34s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.075434}
{'loss': 0.08182106, 'grad_norm': 0.56115544, 'learning_rate': 9.996e-05, 'token_acc': 0.96979167, 'epoch': 0.13, 'global_step/max_steps': '115/1828', 'percentage': '6.29%', 'elapsed_time': '24m 43s', 'remaining_time': '6h 8m 16s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.077525}
{'loss': 0.08862828, 'grad_norm': 0.73607397, 'learning_rate': 9.994e-05, 'token_acc': 0.971875, 'epoch': 0.13, 'global_step/max_steps': '120/1828', 'percentage': '6.56%', 'elapsed_time': '25m 9s', 'remaining_time': '5h 58m 0s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.079514}
{'loss': 0.08289194, 'grad_norm': 0.97172201, 'learning_rate': 9.991e-05, 'token_acc': 0.975, 'epoch': 0.14, 'global_step/max_steps': '125/1828', 'percentage': '6.84%', 'elapsed_time': '25m 34s', 'remaining_time': '5h 48m 20s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.081481}
{'loss': 0.07627568, 'grad_norm': 0.59476727, 'learning_rate': 9.988e-05, 'token_acc': 0.97395833, 'epoch': 0.14, 'global_step/max_steps': '130/1828', 'percentage': '7.11%', 'elapsed_time': '25m 59s', 'remaining_time': '5h 39m 28s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.083365}
{'loss': 0.0806246, 'grad_norm': 0.95433301, 'learning_rate': 9.985e-05, 'token_acc': 0.96770833, 'epoch': 0.15, 'global_step/max_steps': '135/1828', 'percentage': '7.39%', 'elapsed_time': '26m 24s', 'remaining_time': '5h 31m 14s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.085184}
{'loss': 0.07301537, 'grad_norm': 0.6903764, 'learning_rate': 9.981e-05, 'token_acc': 0.97291667, 'epoch': 0.15, 'global_step/max_steps': '140/1828', 'percentage': '7.66%', 'elapsed_time': '26m 50s', 'remaining_time': '5h 23m 39s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.086921}
{'loss': 0.07164247, 'grad_norm': 0.53963965, 'learning_rate': 9.977e-05, 'token_acc': 0.978125, 'epoch': 0.16, 'global_step/max_steps': '145/1828', 'percentage': '7.93%', 'elapsed_time': '27m 16s', 'remaining_time': '5h 16m 28s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.08863}
{'loss': 0.10545447, 'grad_norm': 0.59620059, 'learning_rate': 9.972e-05, 'token_acc': 0.95625, 'epoch': 0.16, 'global_step/max_steps': '150/1828', 'percentage': '8.21%', 'elapsed_time': '27m 41s', 'remaining_time': '5h 9m 49s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.090267}
{'eval_loss': 0.09796324, 'eval_runtime': 446.2563, 'eval_samples_per_second': 43.885, 'eval_steps_per_second': 10.971, 'eval_token_acc': 0.96725218, 'epoch': 0.16, 'global_step/max_steps': '150/1828', 'percentage': '8.21%', 'elapsed_time': '35m 7s', 'remaining_time': '6h 33m 1s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.071158}
{'loss': 0.1052017, 'grad_norm': 0.8381207, 'learning_rate': 9.968e-05, 'token_acc': 0.965625, 'epoch': 0.17, 'global_step/max_steps': '155/1828', 'percentage': '8.48%', 'elapsed_time': '35m 33s', 'remaining_time': '6h 23m 50s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.072642}
{'loss': 0.1010393, 'grad_norm': 0.76380026, 'learning_rate': 9.962e-05, 'token_acc': 0.965625, 'epoch': 0.18, 'global_step/max_steps': '160/1828', 'percentage': '8.75%', 'elapsed_time': '35m 58s', 'remaining_time': '6h 15m 6s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.074111}
{'loss': 0.09577883, 'grad_norm': 0.57897866, 'learning_rate': 9.956e-05, 'token_acc': 0.97291667, 'epoch': 0.18, 'global_step/max_steps': '165/1828', 'percentage': '9.03%', 'elapsed_time': '36m 24s', 'remaining_time': '6h 7m 1s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.075517}
{'loss': 0.0655809, 'grad_norm': 0.51909983, 'learning_rate': 9.95e-05, 'token_acc': 0.971875, 'epoch': 0.19, 'global_step/max_steps': '170/1828', 'percentage': '9.30%', 'elapsed_time': '36m 50s', 'remaining_time': '5h 59m 14s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.076923}
{'loss': 0.07467263, 'grad_norm': 0.55517155, 'learning_rate': 9.944e-05, 'token_acc': 0.97291667, 'epoch': 0.19, 'global_step/max_steps': '175/1828', 'percentage': '9.57%', 'elapsed_time': '37m 15s', 'remaining_time': '5h 51m 53s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.078291}
{'loss': 0.04346763, 'grad_norm': 0.33172783, 'learning_rate': 9.937e-05, 'token_acc': 0.984375, 'epoch': 0.2, 'global_step/max_steps': '180/1828', 'percentage': '9.85%', 'elapsed_time': '37m 40s', 'remaining_time': '5h 44m 53s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.07964}
{'loss': 0.06247496, 'grad_norm': 0.96645844, 'learning_rate': 9.929e-05, 'token_acc': 0.98125, 'epoch': 0.2, 'global_step/max_steps': '185/1828', 'percentage': '10.12%', 'elapsed_time': '38m 4s', 'remaining_time': '5h 38m 10s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.080975}
{'loss': 0.07635542, 'grad_norm': 0.6661402, 'learning_rate': 9.922e-05, 'token_acc': 0.978125, 'epoch': 0.21, 'global_step/max_steps': '190/1828', 'percentage': '10.39%', 'elapsed_time': '38m 29s', 'remaining_time': '5h 31m 46s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.082284}
{'loss': 0.0763974, 'grad_norm': 0.4958463, 'learning_rate': 9.913e-05, 'token_acc': 0.97708333, 'epoch': 0.21, 'global_step/max_steps': '195/1828', 'percentage': '10.67%', 'elapsed_time': '38m 54s', 'remaining_time': '5h 25m 48s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.083534}
{'loss': 0.0630646, 'grad_norm': 0.41889203, 'learning_rate': 9.905e-05, 'token_acc': 0.97604167, 'epoch': 0.22, 'global_step/max_steps': '200/1828', 'percentage': '10.94%', 'elapsed_time': '39m 19s', 'remaining_time': '5h 20m 6s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.084765}
{'eval_loss': 0.08523855, 'eval_runtime': 447.4967, 'eval_samples_per_second': 43.763, 'eval_steps_per_second': 10.941, 'eval_token_acc': 0.97026484, 'epoch': 0.22, 'global_step/max_steps': '200/1828', 'percentage': '10.94%', 'elapsed_time': '46m 47s', 'remaining_time': '6h 20m 48s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.07125}
{'loss': 0.05928214, 'grad_norm': 0.66440672, 'learning_rate': 9.896e-05, 'token_acc': 0.978125, 'epoch': 0.22, 'global_step/max_steps': '205/1828', 'percentage': '11.21%', 'elapsed_time': '47m 13s', 'remaining_time': '6h 13m 53s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.072348}
{'loss': 0.06688414, 'grad_norm': 0.80505896, 'learning_rate': 9.886e-05, 'token_acc': 0.975, 'epoch': 0.23, 'global_step/max_steps': '210/1828', 'percentage': '11.49%', 'elapsed_time': '47m 39s', 'remaining_time': '6h 7m 7s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.073452}
{'loss': 0.07694068, 'grad_norm': 0.49543676, 'learning_rate': 9.877e-05, 'token_acc': 0.96979167, 'epoch': 0.24, 'global_step/max_steps': '215/1828', 'percentage': '11.76%', 'elapsed_time': '48m 3s', 'remaining_time': '6h 0m 36s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.074551}
{'loss': 0.05733582, 'grad_norm': 0.49232513, 'learning_rate': 9.866e-05, 'token_acc': 0.978125, 'epoch': 0.24, 'global_step/max_steps': '220/1828', 'percentage': '12.04%', 'elapsed_time': '48m 30s', 'remaining_time': '5h 54m 29s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.0756}
{'loss': 0.08779287, 'grad_norm': 1.01964712, 'learning_rate': 9.856e-05, 'token_acc': 0.971875, 'epoch': 0.25, 'global_step/max_steps': '225/1828', 'percentage': '12.31%', 'elapsed_time': '48m 55s', 'remaining_time': '5h 48m 33s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.076649}
{'loss': 0.05302851, 'grad_norm': 0.3820366, 'learning_rate': 9.845e-05, 'token_acc': 0.98125, 'epoch': 0.25, 'global_step/max_steps': '230/1828', 'percentage': '12.58%', 'elapsed_time': '49m 21s', 'remaining_time': '5h 42m 53s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.077674}
{'loss': 0.079742, 'grad_norm': 0.95253795, 'learning_rate': 9.834e-05, 'token_acc': 0.96770833, 'epoch': 0.26, 'global_step/max_steps': '235/1828', 'percentage': '12.86%', 'elapsed_time': '49m 46s', 'remaining_time': '5h 37m 24s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.078686}
{'loss': 0.04767833, 'grad_norm': 0.56404531, 'learning_rate': 9.822e-05, 'token_acc': 0.98020833, 'epoch': 0.26, 'global_step/max_steps': '240/1828', 'percentage': '13.13%', 'elapsed_time': '50m 12s', 'remaining_time': '5h 32m 11s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.079672}
{'loss': 0.08004583, 'grad_norm': 0.6070345, 'learning_rate': 9.81e-05, 'token_acc': 0.975, 'epoch': 0.27, 'global_step/max_steps': '245/1828', 'percentage': '13.40%', 'elapsed_time': '50m 38s', 'remaining_time': '5h 27m 12s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.080632}
{'loss': 0.09853582, 'grad_norm': 0.89411294, 'learning_rate': 9.797e-05, 'token_acc': 0.96770833, 'epoch': 0.27, 'global_step/max_steps': '250/1828', 'percentage': '13.68%', 'elapsed_time': '51m 4s', 'remaining_time': '5h 22m 23s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.081579}
{'eval_loss': 0.08889914, 'eval_runtime': 444.8842, 'eval_samples_per_second': 44.02, 'eval_steps_per_second': 11.005, 'eval_token_acc': 0.97048611, 'epoch': 0.27, 'global_step/max_steps': '250/1828', 'percentage': '13.68%', 'elapsed_time': '58m 29s', 'remaining_time': '6h 9m 11s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.071237}
{'loss': 0.09453024, 'grad_norm': 0.47045758, 'learning_rate': 9.784e-05, 'token_acc': 0.96875, 'epoch': 0.28, 'global_step/max_steps': '255/1828', 'percentage': '13.95%', 'elapsed_time': '58m 55s', 'remaining_time': '6h 3m 26s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.072135}
{'loss': 0.06347042, 'grad_norm': 0.52272505, 'learning_rate': 9.771e-05, 'token_acc': 0.97604167, 'epoch': 0.28, 'global_step/max_steps': '260/1828', 'percentage': '14.22%', 'elapsed_time': '59m 20s', 'remaining_time': '5h 57m 49s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.073034}
{'loss': 0.06996775, 'grad_norm': 0.65626764, 'learning_rate': 9.757e-05, 'token_acc': 0.96979167, 'epoch': 0.29, 'global_step/max_steps': '265/1828', 'percentage': '14.50%', 'elapsed_time': '59m 44s', 'remaining_time': '5h 52m 24s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.073921}
{'loss': 0.07140976, 'grad_norm': 0.47527698, 'learning_rate': 9.743e-05, 'token_acc': 0.97395833, 'epoch': 0.3, 'global_step/max_steps': '270/1828', 'percentage': '14.77%', 'elapsed_time': '1h 0m 10s', 'remaining_time': '5h 47m 15s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.074776}
{'loss': 0.05361159, 'grad_norm': 0.35422164, 'learning_rate': 9.728e-05, 'token_acc': 0.98125, 'epoch': 0.3, 'global_step/max_steps': '275/1828', 'percentage': '15.04%', 'elapsed_time': '1h 0m 36s', 'remaining_time': '5h 42m 16s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.07562}
{'loss': 0.05286415, 'grad_norm': 0.30570716, 'learning_rate': 9.713e-05, 'token_acc': 0.98333333, 'epoch': 0.31, 'global_step/max_steps': '280/1828', 'percentage': '15.32%', 'elapsed_time': '1h 1m 2s', 'remaining_time': '5h 37m 26s', 'memory(GiB)': 32.5, 'train_speed(iter/s)': 0.076459}
